__time,/cosine,/dict/a,/dict/b,/float,/int,/list[0],/list[1],/list[2],/mug/attitude/pitch,/mug/attitude/roll,/mug/attitude/yaw,/mug/position/x,/mug/position/y,/mug/position/z,/mug/setpoint/clamped pitch,/mug/setpoint/clamped roll,/mug/setpoint/yaw,/sine,/ts
1733870883.951640,,,,,,,,,-0.105798200,-0.129486193,0.022069708,-0.021799247,0.004460676,-0.028878891,-1.483802474,-1.212358073,1.264501117,,8.425000000
1733870883.952913,,,,,,,,,-0.105798200,-0.129486193,0.022069708,-0.021799247,0.004460676,-0.028878891,-1.483802474,-1.212358073,1.264501117,,8.426000000
1733870883.954218,,,,,,,,,-0.105798200,-0.129486193,0.022069708,-0.021799247,0.004460676,-0.028878891,-1.483802474,-1.212358073,1.264501117,,8.427000000
1733870883.955605,,,,,,,,,-0.108440805,-0.112839998,0.025330172,-0.022180818,0.004169765,-0.027025826,-1.293051126,-1.242640089,1.451311976,,8.429000000
1733870883.956919,,,,,,,,,-0.108440805,-0.112839998,0.025330172,-0.022180818,0.004169765,-0.027025826,-1.293051126,-1.242640089,1.451311976,,8.430000000
1733870883.958224,,,,,,,,,-0.108440805,-0.112839998,0.025330172,-0.022180818,0.004169765,-0.027025826,-1.293051126,-1.242640089,1.451311976,,8.431000000
1733870883.959528,,,,,,,,,-0.108440805,-0.112839998,0.025330172,-0.022180818,0.004169765,-0.027025826,-1.293051126,-1.242640089,1.451311976,,8.432000000
1733870883.960843,,,,,,,,,-0.110735049,-0.099359510,0.021426209,-0.022677499,0.004190381,-0.025160183,-1.138576116,-1.268930194,1.227631332,,8.434000000
1733870883.962164,,,,,,,,,-0.110735049,-0.099359510,0.021426209,-0.022677499,0.004190381,-0.025160183,-1.138576116,-1.268930194,1.227631332,,8.435000000
1733870883.963472,,,,,,,,,-0.110735049,-0.099359510,0.021426209,-0.022677499,0.004190381,-0.025160183,-1.138576116,-1.268930194,1.227631332,,8.436000000
1733870883.964773,,,,,,,,,-0.110735049,-0.099359510,0.021426209,-0.022677499,0.004190381,-0.025160183,-1.138576116,-1.268930194,1.227631332,,8.438000000
1733870883.966096,,,,,,,,,-0.112440379,-0.080536863,0.024816126,-0.023120743,0.003681866,-0.023297151,-0.922884472,-1.288471838,1.421859309,,8.439000000
1733870883.967559,,,,,,,,,-0.112440379,-0.080536863,0.024816126,-0.023120743,0.003681866,-0.023297151,-0.922884472,-1.288471838,1.421859309,,8.440000000
1733870883.968870,,,,,,,,,-0.112440379,-0.080536863,0.024816126,-0.023120743,0.003681866,-0.023297151,-0.922884472,-1.288471838,1.421859309,,8.442000000
1733870883.970260,,,,,,,,,-0.112440379,-0.080536863,0.024816126,-0.023120743,0.003681866,-0.023297151,-0.922884472,-1.288471838,1.421859309,,8.443000000
